book_title,author,lenght
80. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
81. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
"82. Hustle Harder, Hustle Smarter",By: Curtis 50 Cent Jackson,Length: 8 hrs and 16 mins
"83. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
84. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
"85. Influence, New and Expanded",By: Robert B. Cialdini,Length: 20 hrs and 43 mins
86. All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
87. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
88. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
"89. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
90. Holly,By: Stephen King,Length: 15 hrs and 24 mins
91. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
"92. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
93. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
94. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
95. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
96. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
97. Resurrection Walk,By: Michael Connelly,Length: 10 hrs and 30 mins
98. Hábitos atómicos (Latino neutro),By: James Clear,Length: 9 hrs and 1 min
99. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
100. Trail of the Lost,By: Andrea Lankford,Length: 10 hrs and 3 mins
